work_year,experience_level,employment_type,job_title,employee_residence,remote_ratio,company_location,company_size,salary_group
2021,MI,FT,Data Scientist,DE,50,DE,L,M
2021,MI,FT,Data Engineer,RO,0,US,L,L
2021,SE,FT,Finance Data Analyst,GB,50,GB,L,L
2021,MI,FL,Machine Learning Scientist,PK,50,PK,M,L
2021,MI,FT,Data Engineer,IR,100,IR,M,L
2021,SE,FT,Data Analytics Engineer,VN,100,GB,M,L
2021,EX,FT,Data Science Consultant,FR,100,ES,S,L
2021,SE,FT,Data Engineer,RO,50,GB,S,M
2021,MI,FT,Machine Learning Engineer,JP,50,JP,S,L
2021,SE,FT,Data Science Manager,US,100,FR,L,H
2021,EN,FT,Machine Learning Engineer,CO,50,CO,M,L
2021,MI,FT,Big Data Engineer,MD,0,MD,S,L
2021,SE,FT,Data Science Manager,US,100,US,L,H
2021,SE,FT,Research Scientist,CA,50,CA,L,M
2021,MI,FT,Data Scientist,US,50,US,L,H
2021,EN,FT,BI Data Analyst,KE,100,KE,S,L
2021,SE,FT,Machine Learning Engineer,IN,100,IN,L,L
2021,SE,FT,Data Science Manager,IN,50,US,L,L
2021,EN,FT,Data Science Consultant,US,100,US,S,M
2021,MI,FT,Data Scientist,DE,50,AT,M,L
2021,SE,FT,Machine Learning Infrastructure Engineer,US,100,US,M,H
2021,MI,FT,Data Scientist,ES,100,ES,L,L
2021,SE,FT,Research Scientist,FR,100,US,S,L
2021,MI,FT,Data Scientist,US,100,US,L,H
2021,MI,FT,Data Scientist,BR,0,BR,S,L
2021,SE,FT,Machine Learning Engineer,US,100,US,L,H
2021,SE,FT,Data Engineer,US,0,US,M,H
2021,MI,FL,Data Engineer,IT,0,US,L,L
2021,SE,FT,Data Analytics Manager,US,0,US,L,M
2021,MI,FT,Machine Learning Engineer,SI,50,SI,L,L
2021,MI,FT,Research Scientist,FR,50,FR,S,L
2021,MI,FT,Data Engineer,HK,50,GB,S,L
2021,EN,FT,Big Data Engineer,IN,0,CH,L,L
2021,EN,FT,Machine Learning Engineer,DE,50,DE,M,L
2021,SE,FT,Principal Data Engineer,US,100,US,L,H
2021,EN,PT,Computer Vision Engineer,DK,50,DK,S,L
2021,MI,FT,Machine Learning Engineer,BE,100,BE,M,M
2021,SE,FT,Data Analytics Manager,US,100,US,L,H
2021,MI,FT,Machine Learning Engineer,PL,100,PL,L,L
2021,MI,FT,Data Scientist,GB,50,GB,L,M
2021,MI,FT,Data Scientist,IN,0,IN,M,L
2021,MI,FT,Data Scientist,GB,50,GB,L,L
2021,SE,FT,Machine Learning Scientist,US,100,CA,L,H
2021,EX,CT,Principal Data Scientist,US,100,US,S,H
2021,SE,FT,Data Scientist,CA,100,CA,S,M
2021,MI,FT,Data Scientist,DE,50,DE,L,M
2021,SE,FT,Data Scientist,US,0,US,L,H
2021,SE,FT,Data Analyst,CA,100,CA,M,L
2021,EN,FT,Big Data Engineer,IN,100,IN,L,L
2021,SE,FT,ML Engineer,US,100,US,S,H
2021,SE,FT,Director of Data Engineering,US,100,US,L,H
2021,SE,FT,Data Analyst,US,100,US,L,H
2021,MI,FT,Data Architect,US,100,US,L,H
2021,MI,FT,Head of Data Science,US,0,US,S,M
2021,MI,FT,Research Scientist,CA,100,CA,M,L
2021,MI,FT,Data Scientist,ES,100,ES,M,L
2021,EN,FT,Data Scientist,VN,0,VN,M,L
2021,EN,FT,Data Engineer,IN,50,IN,M,L
2021,SE,FT,Data Scientist,CA,100,CA,L,M
2021,MI,FT,Data Analyst,US,100,US,L,M
2021,MI,FT,Data Engineer,US,100,US,L,M
2021,SE,FT,Data Scientist,US,100,US,L,H
2021,EN,FT,AI Scientist,IN,100,AS,S,L
2021,MI,FT,Data Engineer,GB,50,GB,L,L
2021,EN,FT,Data Scientist,FR,50,FR,L,L
2021,MI,FT,Data Engineer,TR,0,TR,M,L
2021,SE,FT,Data Engineer,GB,50,GB,L,M
2021,SE,FT,Principal Data Analyst,US,100,US,M,H
2021,MI,FT,Data Scientist,US,50,US,L,M
2021,EN,FT,Data Scientist,US,100,US,S,M
2021,EX,FT,Principal Data Engineer,US,100,US,L,H
2021,EN,FT,Data Scientist,IN,100,IN,M,L
2021,MI,FT,Data Analyst,US,100,US,L,M
2021,SE,FT,Big Data Architect,CA,50,CA,M,M
2021,SE,FT,Principal Data Scientist,DE,100,DE,M,H
2021,SE,FT,Machine Learning Engineer,US,50,US,L,H
2021,EX,FT,Director of Data Science,DE,0,DE,L,H
2021,MI,FT,Data Scientist,US,50,US,L,H
2021,SE,FT,Data Analyst,DE,50,DE,L,L
2021,MI,FT,Data Scientist,IN,100,IN,S,L
2021,SE,FT,Machine Learning Engineer,IN,0,IN,L,L
2021,MI,FT,Data Scientist,RS,100,DE,S,L
2021,SE,FT,Lead Data Engineer,PR,50,US,S,H
2021,MI,FT,Data Engineer,US,0,US,M,M
2021,MI,FT,Data Engineer,US,0,US,M,M
2021,MI,FT,Data Engineer,TR,100,TR,M,L
2021,EN,FT,Data Engineer,DE,50,DE,M,L
2021,EN,FT,Data Engineer,US,100,US,L,L
2021,SE,FT,Computer Vision Engineer,BR,0,BR,M,L
2021,EN,FT,Data Science Consultant,DE,0,DE,L,M
2021,EN,FT,Machine Learning Engineer,NL,100,DE,S,M
2021,SE,FT,Data Scientist,FR,50,FR,M,M
2021,EN,FT,Data Scientist,US,100,US,M,M
2021,EN,FT,Data Scientist,US,50,US,L,L
2021,SE,FT,AI Scientist,ES,100,ES,L,L
2021,SE,FT,Data Scientist,TR,50,TR,L,L
2021,EN,FT,Business Data Analyst,LU,100,LU,L,L
2021,MI,FT,Data Engineer,US,100,US,L,M
2021,EN,FT,Research Scientist,JE,0,CN,L,M
2021,MI,PT,Data Engineer,NL,100,NL,L,L
2021,SE,CT,Staff Data Scientist,US,100,US,M,M
2021,MI,FT,Research Scientist,CZ,50,CZ,L,L
2021,SE,FT,Data Science Manager,IN,50,IN,L,M
2021,SE,FT,Head of Data,SI,100,SI,L,M
2021,MI,FT,Data Scientist,US,50,US,L,M
2021,MI,FT,Machine Learning Engineer,IT,50,IT,L,L
2022,SE,FT,Data Engineer,US,100,US,M,H
2022,SE,FT,Data Analyst,US,100,US,M,H
2022,SE,FT,Data Analyst,US,100,US,M,M
2022,MI,FT,Data Scientist,US,0,US,M,H
2022,MI,FT,Data Scientist,US,0,US,M,M
2022,MI,FT,Data Engineer,US,100,US,M,H
2022,MI,FT,Data Engineer,US,100,US,M,H
2022,SE,FT,Data Analyst,US,100,US,M,M
2022,SE,FT,Data Analyst,US,100,US,M,M
2022,SE,FT,Data Scientist,US,100,US,M,H
2022,SE,FT,Data Scientist,US,100,US,M,M
2022,SE,FT,Data Scientist,GB,0,GB,M,M
2022,SE,FT,Data Scientist,GB,0,GB,M,M
2022,SE,FT,Data Scientist,US,100,US,M,H
2022,SE,FT,Data Scientist,US,100,US,M,M
2022,EN,FT,Data Engineer,GB,100,GB,M,L
2022,SE,FT,Data Analyst,US,0,US,M,M
2022,SE,FT,Data Analyst,US,0,US,M,M
2022,MI,FT,Data Analyst,US,0,US,M,M
2022,MI,FT,Data Analyst,US,0,US,M,M
2022,EX,FT,Data Engineer,US,100,US,M,H
2022,EX,FT,Data Engineer,US,100,US,M,H
2022,MI,FT,Data Scientist,GB,0,GB,M,L
2022,MI,FT,Data Scientist,GB,0,GB,M,L
2022,MI,FT,Data Engineer,GB,0,GB,M,M
2022,MI,FT,Data Engineer,GB,0,GB,M,L
2022,SE,FT,Data Scientist,US,100,US,M,H
2022,EN,FT,Data Engineer,GB,100,GB,M,L
2022,SE,FT,Data Scientist,US,100,US,M,M
2022,SE,FT,Data Analyst,US,100,US,M,M
2022,SE,FT,Data Engineer,US,0,US,M,H
2022,SE,FT,Data Engineer,US,0,US,M,H
2022,SE,FT,Data Engineer,US,0,US,M,H
2022,SE,FT,Data Engineer,US,0,US,M,H
2022,SE,FT,Data Scientist,US,0,US,L,H
2022,SE,FT,Data Scientist,US,0,US,L,M
2022,SE,FT,Data Analyst,US,100,US,M,M
2022,EX,FT,Data Analyst,US,100,US,M,H
2022,EX,FT,Data Analyst,US,100,US,M,M
2022,SE,FT,Data Analyst,US,100,US,M,H
2022,MI,FT,Data Analyst,US,100,US,M,M
2022,SE,FT,Data Analyst,US,100,US,M,M
2022,SE,FT,Data Engineer,US,100,US,M,H
2022,SE,FT,Data Engineer,US,100,US,M,H
2022,MI,FT,Data Analyst,US,100,US,M,H
2022,SE,FT,Data Engineer,US,100,US,M,H
2022,SE,FT,Data Analyst,US,100,US,M,H
2022,SE,FT,Data Analyst,US,100,US,M,M
2022,SE,FT,Data Engineer,US,100,US,M,H
2022,SE,FT,Data Engineer,US,100,US,M,M
2022,EX,FT,Head of Data Science,US,100,US,M,H
2022,EX,FT,Head of Data Science,US,100,US,M,H
2022,EX,FT,Analytics Engineer,US,100,US,M,H
2022,SE,FT,Data Engineer,US,100,US,M,H
2022,SE,FT,Data Engineer,US,0,US,M,M
2022,SE,FT,Data Scientist,US,0,US,M,M
2022,SE,FT,Data Engineer,US,0,US,L,M
2022,SE,FT,Data Analyst,US,100,US,M,H
2022,SE,FT,Data Science Manager,US,100,US,M,H
2022,SE,FT,Data Science Manager,US,100,US,M,H
2022,SE,FT,Data Scientist,US,100,US,M,H
2022,SE,FT,Data Engineer,GB,0,GB,M,M
2022,SE,FT,Data Engineer,GB,0,GB,M,L
2022,SE,FT,Data Scientist,US,0,US,M,H
2022,SE,FT,Data Scientist,US,100,US,M,H
2022,SE,FT,Data Architect,CA,100,CA,M,H
2022,SE,FT,Data Architect,CA,100,CA,M,M
2022,SE,FT,Data Analyst,CA,100,CA,M,H
2022,SE,FT,Data Analyst,CA,100,CA,M,L
2022,SE,FT,Data Engineer,US,0,US,L,H
2022,SE,FT,Data Scientist,US,100,US,M,H
2022,SE,FT,Data Engineer,US,0,US,M,H
2022,MI,FT,Data Analyst,US,0,US,S,L
2022,EX,FT,Analytics Engineer,US,100,US,M,H
2022,SE,FT,Data Scientist,US,100,US,M,H
2022,SE,FT,Machine Learning Engineer,US,0,US,M,H
2022,SE,FT,Machine Learning Engineer,US,0,US,M,H
2022,MI,FT,ETL Developer,GR,0,GR,M,L
2022,EX,FT,Lead Data Engineer,CA,100,CA,S,M
2022,SE,FT,Data Analyst,US,0,US,M,H
2022,SE,FT,Data Architect,US,100,US,M,H
2022,SE,FT,Data Architect,US,100,US,M,H
2022,SE,FT,Data Engineer,US,100,US,M,H
2022,SE,FT,Data Engineer,US,100,US,M,M
2022,SE,FT,Data Analyst,US,100,US,M,H
2022,SE,FT,Data Analyst,US,100,US,M,M
2022,EX,FT,Head of Machine Learning,IN,50,IN,L,M
2022,EN,FT,Machine Learning Engineer,GB,100,GB,L,L
2022,SE,FT,Data Analyst,US,0,US,M,H
2022,SE,FT,Data Engineer,US,100,US,M,H
2022,MI,FT,Machine Learning Engineer,GB,0,GB,M,M
2022,MI,FT,Machine Learning Engineer,GB,0,GB,M,M
2022,MI,FT,AI Scientist,US,0,US,M,M
2022,SE,FT,Data Analytics Manager,US,100,US,M,H
2022,SE,FT,Data Analytics Manager,US,100,US,M,M
2022,MI,FT,Machine Learning Engineer,FR,100,DE,M,M
2022,MI,FT,Data Engineer,GB,0,GB,M,M
2022,SE,FT,Data Scientist,US,100,US,L,H
2022,SE,FT,Data Scientist,US,100,US,L,H
2022,SE,FT,Data Engineer,US,100,US,L,H
2022,SE,FT,Data Engineer,US,100,US,L,H
2022,SE,FT,Data Analyst,US,0,US,M,M
2022,SE,FT,Data Analyst,US,0,US,M,M
2022,SE,FT,Data Engineer,US,100,US,M,H
2022,MI,FT,Data Engineer,GB,0,GB,M,M
2022,SE,FT,Data Engineer,US,100,US,L,H
2022,MI,FT,Data Analyst,GB,100,GB,M,L
2022,SE,FT,Data Scientist,US,100,US,M,H
2022,MI,FT,Data Scientist,GB,0,GB,M,L
2022,MI,FT,Data Scientist,GB,0,GB,M,L
2022,MI,FT,Data Engineer,GR,100,GR,M,L
2022,MI,FT,Data Engineer,GR,100,GR,M,L
2022,MI,FT,Data Engineer,GB,100,GB,M,M
2022,MI,FT,Data Engineer,GB,100,GB,M,L
2022,SE,FT,Data Scientist,US,100,US,M,H
2022,SE,FT,Data Science Engineer,AR,100,MX,L,L
2022,MI,FT,Data Engineer,US,0,US,M,L
2022,MI,FT,Machine Learning Scientist,US,100,US,L,H
2022,MI,FT,Machine Learning Scientist,US,100,US,L,M
2022,MI,FT,Data Science Manager,US,100,US,M,H
2022,MI,FT,Data Science Manager,US,100,US,M,H
2022,SE,FT,Data Scientist,US,0,US,M,H
2022,SE,FT,Data Scientist,US,0,US,M,M
2022,MI,FT,Data Engineer,US,0,US,M,M
2022,SE,FT,Data Engineer,US,100,US,L,M
2022,MI,FT,Data Engineer,ES,100,ES,M,L
2022,SE,FT,Data Scientist,US,0,US,L,H
2022,MI,FT,Data Analyst,GB,100,GB,M,L
2022,MI,FT,Data Analyst,ES,100,ES,M,L
2022,MI,FT,Data Analyst,ES,100,ES,M,L
2022,MI,FT,Data Engineer,ES,100,ES,M,M
2022,MI,FT,Data Engineer,ES,100,ES,M,M
2022,MI,FT,Data Engineer,GB,100,GB,M,M
2022,MI,FT,Data Engineer,GB,100,GB,M,M
2022,MI,FT,Data Engineer,ES,100,ES,M,L
2022,MI,FT,Data Engineer,GR,100,GR,M,M
2022,MI,FT,Data Analyst,GR,100,GR,M,L
2022,MI,FT,Data Analyst,GR,100,GR,M,L
2022,MI,FT,Data Engineer,GB,100,GB,M,M
2022,SE,FT,Data Scientist,US,0,US,L,H
2022,MI,FT,Data Engineer,GR,100,GR,M,M
2022,SE,FT,Data Engineer,US,100,US,M,H
2022,EN,FT,ML Engineer,PT,100,PT,L,L
2022,SE,FT,Data Engineer,US,100,US,M,M
2022,MI,FT,Machine Learning Developer,CA,100,CA,M,M
2022,EX,FT,Director of Data Science,CA,50,CA,L,H
2022,MI,FT,Machine Learning Engineer,US,100,US,S,M
2022,EN,FT,Computer Vision Engineer,US,0,US,M,M
2022,MI,FT,NLP Engineer,US,50,US,L,L
2022,SE,FT,Data Engineer,US,100,US,M,M
2022,SE,FT,Lead Machine Learning Engineer,DE,0,DE,M,M
2022,MI,FT,Business Data Analyst,IN,100,IN,M,L
2022,MI,FT,Data Scientist,IN,100,IN,L,L
2022,MI,FT,Machine Learning Infrastructure Engineer,PT,50,PT,L,L
2022,EN,FT,Financial Data Analyst,US,50,US,L,M
2022,MI,PT,Data Engineer,DE,50,DE,L,L
2022,EN,FT,Data Scientist,IN,100,IN,M,L
2022,SE,FT,Principal Data Scientist,DE,100,DE,M,H
2022,EN,FT,Data Engineer,US,100,US,M,M
2022,SE,FT,Research Scientist,US,50,US,L,H
2022,SE,FT,Data Scientist,US,100,US,M,M
2022,SE,FT,Data Engineer,US,100,US,M,M
2022,SE,FT,Data Scientist,US,100,US,M,H
2022,MI,FT,Data Analyst,US,100,US,M,H
2022,MI,FT,Data Analyst,US,100,US,M,L
2022,SE,FT,Data Scientist,US,100,US,M,H
2022,MI,FT,Data Scientist,GB,0,GB,M,H
2022,MI,FT,Data Scientist,GB,0,GB,M,M
2022,SE,FT,Data Scientist,US,100,US,M,H
2022,SE,FT,Machine Learning Engineer,US,100,US,M,H
2022,MI,FT,Data Scientist,US,100,US,M,H
2022,MI,FT,Data Scientist,US,100,US,M,M
2022,SE,FT,Machine Learning Engineer,AE,100,AE,S,M
2022,SE,FT,Machine Learning Engineer,AE,100,AE,S,L
2022,EX,FT,Data Engineer,US,100,US,M,H
2022,EX,FT,Data Engineer,US,100,US,M,H
2022,SE,FT,Data Engineer,US,100,US,M,H
2022,SE,FT,Machine Learning Engineer,US,100,US,M,M
2022,SE,FT,Data Scientist,US,100,US,M,H
2022,EN,PT,Data Scientist,DZ,50,DZ,M,M
2022,MI,FL,Data Scientist,CA,100,US,M,M
2022,EN,CT,Applied Machine Learning Scientist,TN,100,CZ,M,L
2022,SE,FT,Head of Data,MY,100,US,M,H
2022,MI,FT,Principal Data Analyst,CA,100,CA,S,M
2022,MI,FT,Data Scientist,PL,100,PL,L,L
2022,SE,FT,Machine Learning Developer,CA,100,CA,M,M
2022,SE,FT,Data Scientist,BR,100,US,M,M
2022,MI,FT,Machine Learning Scientist,US,50,US,M,H
2022,EN,FT,Data Engineer,PK,100,DE,M,L
2022,SE,FT,Data Scientist,US,100,US,M,H
2022,SE,FT,Research Scientist,FR,50,FR,L,M
2022,EN,FT,Data Scientist,CA,100,CA,L,L
2022,SE,FT,Machine Learning Engineer,NL,100,NL,L,L
2022,MI,FT,Head of Data,EE,100,EE,S,L
2022,EN,FT,Data Scientist,JP,100,MY,L,L
2022,MI,FT,Machine Learning Engineer,AU,100,AU,L,M
2022,SE,FT,Data Engineer,US,100,US,M,M
2022,EN,FT,Data Scientist,AU,50,AU,M,M
2022,MI,FT,Applied Machine Learning Scientist,BO,100,US,L,M
2022,MI,FT,Research Scientist,AT,0,AT,L,L
2022,EN,FT,Research Scientist,US,100,US,L,M
2022,MI,FT,Applied Data Scientist,US,100,US,L,H
2022,EN,FT,Computer Vision Software Engineer,AU,100,AU,S,H
2022,MI,FT,Business Data Analyst,CA,50,CA,L,L
2022,EN,FT,Data Engineer,US,100,US,S,L
2022,SE,FT,Machine Learning Engineer,IE,100,IE,S,L
2022,EN,FT,Data Analytics Engineer,PK,0,PK,M,L
2022,MI,FT,Data Scientist,RU,100,US,S,L
